id,gender,height_cm,weight_kg,sleep_hours,study_hours
701,male,,72.6,6.4,1.5
702,male,176.1,75.4,7.9,1.3
703,male,179.8,71.8,5.6,1.5
704,male,166.3,73.5,8.6,1.9
705,male,168.3,70.2,6.5,1.5
706,male,176.8,71.5,8.2,2.6
707,female,160.7,70.6,7.7,0.8
708,female,162.3,66.6,6.4,1.5
709,female,158.2,67.2,6.5,2.7
710,male,176.2,70.5,5.8,1.1
711,male,178.2,71.1,8.5,2.1
712,male,176.8,75.5,6.3,1.7
713,female,168.2,63.1,8.1,2.6
714,female,162.5,68.1,6.3,3.5
715,female,154.9,61.8,7.0,1.7
716,female,156.1,63.6,7.1,3.4
717,male,176.8,73.7,6.7,2.1
718,female,,64.1,6.7,1.6
719,male,178.9,86.6,7.6,0.3
720,male,168.9,70.1,7.0,1.8
721,male,171.9,77.9,5.5,0.2
722,male,173.1,,7.0,2.8
723,male,180.4,77.4,7.3,0.6
724,male,167.2,68.0,5.7,2.6
725,male,167.9,69.0,5.9,1.4
726,female,158.9,64.0,6.6,1.6
727,male,177.9,,5.7,1.7
728,female,159.4,75.9,5.2,2.8
729,male,182.5,70.0,7.7,2.5
730,male,174.8,70.2,8.8,1.2
731,female,161.9,67.9,8.3,2.6
732,male,175.6,80.5,6.9,0.0
733,female,155.5,62.7,6.8,1.5
734,male,162.0,71.9,8.6,1.3
735,female,155.5,66.8,8.4,1.6
736,male,176.4,73.7,4.8,1.7
737,male,167.1,74.8,8.0,3.0
738,male,176.6,76.4,6.9,3.3
739,male,177.7,80.1,8.0,3.8
740,male,164.2,67.4,6.1,2.6
741,male,176.3,69.8,6.8,2.5
742,female,160.5,59.5,6.0,2.3
743,female,169.9,63.1,6.8,2.9
744,male,166.8,74.8,6.1,2.4
745,male,165.0,78.7,9.1,1.4
746,male,173.1,74.9,7.5,1.2
747,male,174.4,65.3,6.5,2.6
748,female,167.0,69.0,6.4,2.3
749,female,158.1,72.1,6.6,2.7
750,female,149.9,57.0,6.0,1.3
751,female,157.6,62.6,5.3,1.6
752,female,157.3,59.7,7.8,1.1
753,female,154.9,62.4,7.8,2.0
754,female,154.5,68.1,7.6,2.9
755,male,166.7,68.4,7.2,1.1
756,male,171.1,74.3,5.8,1.4
757,male,175.7,995.0,6.2,3.7
758,female,153.5,67.0,6.8,3.1
759,male,172.5,69.2,7.7,3.1
760,male,174.6,65.4,7.7,1.9
761,female,,61.6,6.2,2.5
762,male,172.6,72.3,7.3,0.4
763,male,175.8,70.5,6.8,1.6
764,female,156.1,63.9,6.2,1.6
765,female,152.6,59.4,5.8,0.9
766,female,160.9,73.8,8.6,2.5
767,male,175.5,72.8,6.2,0.3
768,female,156.7,66.4,6.0,5.6
769,female,162.2,58.7,6.5,2.7
770,male,187.3,81.7,7.1,1.7
771,male,166.3,70.2,6.3,2.7
772,male,168.6,68.7,8.0,2.5
773,female,154.5,66.7,5.5,1.2
774,male,170.2,65.4,4.6,0.8
775,female,167.9,68.7,6.0,2.7
776,male,169.5,75.4,6.5,2.2
777,female,160.8,72.5,7.9,1.8
778,male,173.9,71.9,6.5,1.7
779,female,155.1,61.7,6.4,0.5
780,female,165.4,72.4,5.6,1.8
781,male,171.2,67.8,7.1,3.1
782,female,162.4,70.9,8.8,2.1
783,male,173.7,,6.8,0.0
784,male,181.1,77.8,7.4,2.8
785,female,,62.9,7.4,2.8
786,male,164.7,69.5,8.3,3.0
787,male,173.9,74.5,7.5,3.7
788,male,169.2,64.6,6.6,2.6
789,female,166.3,63.2,6.8,1.8
790,male,176.7,78.0,6.7,3.2
791,female,152.5,59.3,5.2,1.6
792,male,174.0,69.3,7.4,1.3
793,male,161.0,65.3,5.5,2.8
794,female,155.6,67.1,6.9,2.3
795,female,163.7,65.8,6.9,0.4
796,male,180.4,78.9,5.3,2.8
797,female,154.3,63.5,7.3,2.2
798,male,173.0,76.2,7.6,2.7
799,male,168.7,64.0,6.0,1.3
800,female,155.2,66.5,5.6,3.5
801,male,181.1,74.2,6.3,2.2
802,male,167.9,66.2,6.7,2.5
803,female,155.7,71.1,7.3,1.5
804,female,158.8,63.7,4.7,1.8
805,male,161.3,,5.6,2.0
806,male,164.3,66.0,6.8,1.4
807,female,155.2,63.6,3.8,3.2
808,male,171.5,72.1,6.1,1.0
809,female,155.9,70.0,7.5,0.9
810,male,165.1,66.5,7.7,2.4
811,male,168.6,68.2,5.9,2.1
812,male,165.6,65.0,6.6,3.3
813,female,161.6,72.5,6.9,1.9
814,male,178.1,70.1,6.4,0.6
815,female,168.6,69.6,7.0,1.9
816,male,175.2,71.0,6.8,0.9
817,male,175.7,85.0,7.1,2.1
818,male,178.3,67.3,7.5,2.1
819,female,154.3,65.6,5.6,1.1
820,female,161.1,69.1,6.8,2.1
821,female,,58.3,8.8,2.7
822,male,171.3,62.3,7.8,0.0
823,male,168.7,72.8,6.8,1.7
824,male,175.0,75.3,8.0,2.0
825,female,157.0,74.7,7.6,2.7
826,male,164.1,59.1,8.3,0.5
827,male,177.3,70.7,7.6,1.5
828,female,165.2,65.3,5.8,3.7
829,female,158.7,67.7,6.7,0.3
830,male,181.5,70.5,4.5,0.6
831,female,159.2,70.1,6.8,2.4
832,male,,67.2,6.4,1.9
833,female,162.4,69.3,7.2,2.0
834,male,172.3,80.8,6.2,1.4
835,male,170.8,73.8,6.6,1.2
836,male,176.8,72.7,7.9,0.2
837,female,157.2,69.2,7.0,3.5
838,male,180.7,77.8,6.7,1.0
839,male,169.5,63.4,6.3,1.1
840,female,168.2,63.2,7.7,2.0
841,male,170.9,79.6,5.0,1.2
842,male,170.8,70.7,7.2,0.8
843,female,155.9,58.9,5.5,0.7
844,female,161.7,63.5,6.9,0.2
845,female,157.8,65.3,4.7,2.5
846,male,168.5,63.6,7.7,1.5
847,female,162.0,64.3,5.3,1.4
848,male,170.9,71.0,5.8,2.7
849,female,157.1,56.2,6.1,2.2
850,male,170.1,70.2,8.6,2.2
851,female,160.2,59.5,6.7,1.6
852,female,154.2,65.3,8.1,4.1
853,male,169.6,65.7,7.8,1.9
854,female,161.3,67.4,6.8,2.4
855,female,154.3,66.3,7.3,1.7
856,male,186.3,84.4,7.6,2.2
857,male,170.3,70.6,6.9,1.9
858,male,166.8,69.1,6.7,1.4
859,female,160.3,67.3,7.6,1.1
860,female,155.8,65.4,7.3,2.0
861,male,173.1,66.7,8.3,2.7
862,male,174.3,71.1,6.1,2.2
863,male,174.5,76.4,7.2,2.3
864,male,166.1,70.6,7.8,1.6
865,male,161.7,72.7,8.7,2.4
866,female,161.1,68.7,6.2,1.4
867,male,180.5,70.3,5.8,1.5
868,female,157.3,60.3,7.8,0.0
869,female,161.9,71.1,6.1,1.1
870,male,171.7,79.5,6.5,2.7
871,male,167.5,67.7,5.3,0.6
872,female,166.5,68.8,7.2,2.3
873,male,175.6,74.5,6.2,2.3
874,female,159.0,58.5,6.9,1.0
875,male,174.3,72.3,6.5,3.2
876,male,169.0,70.6,6.6,2.2
877,male,181.3,79.5,5.6,1.5
878,female,,65.6,7.0,2.6
879,male,171.0,71.8,5.3,2.1
880,male,180.6,78.0,9.0,0.9
881,male,159.0,59.9,5.9,1.3
882,male,159.4,67.6,6.6,2.3
883,female,158.3,66.7,6.2,0.2
884,female,158.2,57.3,6.5,3.2
885,female,157.0,58.3,6.1,3.0
886,male,176.5,76.8,7.7,0.0
887,female,156.1,69.9,6.6,2.9
888,male,162.3,69.9,6.7,0.3
889,male,162.5,67.9,6.3,1.4
890,female,154.3,69.7,6.8,2.7
891,female,157.8,58.4,7.2,0.4
892,female,155.8,68.9,7.4,3.4
893,female,152.5,61.3,4.3,2.2
894,female,161.8,63.2,7.6,1.3
895,female,157.8,65.8,9.2,1.5
896,female,153.9,57.7,7.1,1.4
897,male,168.7,64.8,8.0,2.8
898,male,175.1,64.3,5.5,1.1
899,male,176.3,66.3,6.4,0.2
900,male,172.4,76.8,5.2,3.5
901,male,164.5,74.0,5.9,2.4
902,female,157.3,62.6,7.2,2.3
903,male,168.5,74.0,5.7,1.8
904,male,175.2,74.2,8.6,2.7
905,female,162.7,76.3,7.7,1.9
906,male,165.9,71.5,8.3,3.8
907,female,156.8,75.1,7.7,1.4
908,male,171.4,71.3,8.2,0.3
909,male,176.8,74.4,6.5,1.8
910,female,160.2,67.9,7.3,0.1
911,male,168.7,72.1,8.0,3.1
912,male,177.1,71.1,7.9,1.4
913,male,187.7,82.9,5.2,0.8
914,male,177.0,75.7,7.5,0.0
915,male,177.2,72.1,7.0,1.4
916,male,172.1,69.6,6.9,1.6
917,male,172.1,81.0,7.1,1.6
918,male,187.0,75.9,8.4,1.5
919,female,163.9,73.1,7.9,2.7
920,male,169.3,74.7,6.7,1.4
921,female,158.1,54.8,5.2,1.2
922,male,172.9,69.5,7.4,1.9
923,female,,66.4,7.6,1.9
924,female,153.1,60.3,7.9,0.0
925,male,170.8,77.6,8.2,2.2
926,male,166.5,68.4,7.1,0.5
927,female,152.9,72.7,6.5,1.9
928,male,180.0,77.0,6.6,0.1
929,male,164.7,67.7,4.4,2.3
930,female,157.8,65.7,7.8,1.7
931,female,159.5,68.2,8.5,1.3
932,female,163.2,63.3,6.8,3.2
933,female,158.4,73.4,7.5,2.1
934,male,,71.8,7.5,2.4
935,male,184.1,79.3,6.4,2.3
936,male,167.9,63.0,7.6,2.0
937,female,152.6,72.6,7.4,1.1
938,male,173.5,73.3,5.7,3.7
939,female,153.6,60.9,7.2,1.8
940,female,152.6,65.0,7.1,1.2
941,male,168.4,71.4,6.5,0.8
942,female,160.1,66.6,8.4,1.9
943,female,156.3,68.5,6.6,0.8
944,female,156.7,73.2,6.1,2.2
945,female,158.7,61.0,7.5,2.9
946,female,160.9,68.2,6.4,2.5
947,male,174.2,69.5,6.5,4.2
948,female,164.4,66.5,6.1,3.9
949,female,163.8,68.1,8.2,1.6
950,male,,72.2,6.3,2.5
951,male,160.2,69.3,5.8,3.7
952,male,166.7,64.1,4.8,3.4
953,female,151.6,68.5,7.4,3.7
954,female,161.4,67.5,7.5,1.7
955,female,155.7,65.7,6.8,2.7
956,female,161.6,64.2,7.1,0.8
957,male,181.9,72.5,8.2,2.5
958,female,160.2,71.1,6.0,2.3
959,female,145.7,60.5,8.5,1.9
960,female,160.9,69.8,8.3,2.2
961,female,153.9,56.3,7.4,2.9
962,female,159.5,72.4,4.9,4.3
963,female,157.6,57.1,5.9,2.0
964,male,160.3,67.5,6.4,1.7
965,female,154.9,59.7,7.2,2.6
966,female,162.4,,8.7,3.5
967,female,154.5,64.1,7.1,3.3
968,male,,69.7,6.2,3.4
969,female,158.6,73.6,8.1,2.8
970,male,174.3,68.0,8.1,2.3
971,female,157.0,64.6,5.5,3.3
972,male,179.0,83.0,6.0,3.0
973,male,171.3,78.3,6.5,3.8
974,female,158.1,56.6,6.9,1.7
975,male,1.65,69.4,7.6,1.9
976,female,156.4,63.9,6.8,1.4
977,male,174.8,68.9,6.3,2.4
978,female,168.5,64.1,9.7,0.8
979,male,175.9,69.7,8.0,1.3
980,female,156.3,68.6,7.9,2.2
981,male,175.2,79.5,6.9,1.7
982,female,164.4,64.2,5.5,2.6
983,male,169.0,72.2,5.0,1.2
984,male,177.0,71.1,7.5,2.4
985,female,158.2,,7.9,1.0
986,female,159.8,66.3,5.8,3.3
987,male,169.2,68.0,7.4,1.7
988,male,170.2,73.6,6.3,2.3
989,female,165.1,72.7,6.5,1.6
990,female,162.3,76.0,7.5,3.5
991,male,156.5,68.0,7.4,1.2
992,female,156.4,66.4,6.9,0.9
993,male,162.0,,7.0,0.0
994,female,162.6,66.2,6.9,3.4
995,male,176.2,78.7,7.8,3.6
996,male,159.8,65.1,7.6,3.6
997,female,146.5,67.7,6.5,3.1
998,female,160.3,68.6,6.5,1.3
999,female,142.6,63.9,5.7,1.9
1000,male,170.1,78.4,8.1,1.1
